positive	设计	2.真机重量比上一代轻很多
positive	品质	4.屏幕显示效果确实比上一代有进步
positive	服务	5.新的数据接口更小
positive	功能	6.从简单的几个操作来讲速度比4s要快
positive	品质	4寸的屏幕
positive	设计	但5的手感也是相当的给力
positive	设计	全景照片真的很爽
positive	品质	3，前置摄像头
positive	设计	4，背面的镜头感觉提升一些
positive	品质	充电速度很满意
positive	设计	9，app应用仍然很给力
positive	设计	金属背壳非常有质感
positive	品质	加上精良的工艺
positive	设计	这就是我想要的手感
positive	功能	3，体验
positive	设计	3d地图的时候比4s有非常明显的优势
positive	功能	所以性能的提升绝对不是纸面数据而已
negative	功能	简单讲siri虽然有时不那么灵
positive	设计	也是很实用的功能
positive	设计	防打扰模式很实用
positive	设计	照片分享也给力很多
negative	设计	地图也经常被吐槽
negative	功能	导航延迟有点大
positive	功能	5，网络
negative	功能	只是用起来发热有点厉害
positive	品质	屏幕惊艳
positive	设计	拍照效果完美
positive	设计	入手感觉很精巧
positive	品质	电池没问题
positive	设计	做工很好
positive	品质	每个细节都很出色
positive	设计	这是像素级的设计
positive	品质	屏幕好
positive	设计	那个拍照实在是太好了
positive	服务	新的接口小巧得多
positive	设计	音响是最让人惊讶的
positive	设计	那个新耳机
positive	品质	当然屏幕这么好
positive	功能	iphone5看视频很棒
positive	品质	画面很炫
positive	功能	系统操作没什么可说的
positive	设计	触摸仍然是无人可及
positive	设计	苹果的软件实在是太多太好
positive	设计	无论是界面设计还是交互
positive	设计	无论是界面设计还是交互
positive	设计	最后siri
negative	设计	1.这款手机设计上最大的败笔就是摄像头
negative	设计	就是摄像头的位置
negative	服务	2.说明书没说明
negative	设计	功能菜单设置又不是很合理
negative	功能	以后操作应该不是很方便
negative	设计	②照相机的连拍功能
positive	设计	一、外观感受
positive	设计	l36h的造型删繁就简
positive	功能	1、3g上网速度很快
positive	品质	显示效果纤毫必现
positive	设计	色彩明艳
positive	品质	画面清晰恢宏
positive	服务	动作流畅
negative	功能	1、扬声器音量小
negative	设计	2、机型薄则电量不够
negative	品质	3、防爆膜不放刮
positive	品质	屏幕大
positive	功能	用s3试拍几张照片
positive	功能	而且反应好快
positive	功能	另外s3的信号也不错
positive	品质	关于屏幕坏点
positive	品质	s3的金属听筒也很牢固
negative	品质	按键以后到屏幕亮起来时
negative	设计	感觉4s很重屏幕很窄
positive	设计	7.siri的粤语跟普通话辨认都不错
negative	功能	就是没广告上的反应那么快
positive	功能	8.勿扰模式很不错
positive	品质	10.硬件上
positive	品质	屏幕的色彩显示要比4s好上很多
positive	品质	摄像头就没感觉有提升多少
negative	品质	不得不说一下配的那个什么pod的新款耳机
negative	功能	音质感觉还是没有什么提升
positive	功能	我觉得ios6真的是很不错
positive	品质	不得不说的是电量
positive	设计	还有passbook
negative	设计	不过机身上的几个按键的设计本人并不喜欢
negative	设计	尤其是顶部的开关键
negative	服务	机身接口有点少
positive	品质	2、硬件：大猩猩屏+ahips看着用着都舒服
